Metadata_Day,Metadata_Group,AreaShape_Area,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_origImage,Intensity_IntegratedIntensity_origImage,Intensity_LowerQuartileIntensity_origImage,Intensity_MADIntensity_origImage,Intensity_MassDisplacement_origImage,Intensity_MaxIntensityEdge_origImage,Intensity_MaxIntensity_origImage,Intensity_MeanIntensityEdge_origImage,Intensity_MeanIntensity_origImage,Intensity_MedianIntensity_origImage,Intensity_MinIntensityEdge_origImage,Intensity_MinIntensity_origImage,Intensity_StdIntensityEdge_origImage,Intensity_StdIntensity_origImage,Intensity_UpperQuartileIntensity_origImage,Class
1,1,129,4.842271753,0.990283117,1,0.173387097,0.176624288,39.51032072,37.80211634,3,1.391987274,1,6.350780566,5.494541644,-55.87682745,95.802,0.779456193,0.135224918,0.233279516,0.001557093,0.00023837,0.108424987,0.002475971,0.002537486,0.001931785,0.001808368,0.001806997,0.001568627,0.00106113,0.000245018,0.000349261,0.002029989,HWJC
1,1,1412,1.919621345,0.828282311,1,0.300617415,0.249567164,72.40958247,76.53103945,12.16552506,4.131383434,3.605551275,50.61605018,40.57188529,39.07271932,266.642,0.556343578,0.463652465,2.961584122,0.001737793,0.000322953,0.683354,0.002706651,0.003921569,0.002197405,0.002097439,0.00201461,0.001291811,0.000999616,0.000276572,0.000512337,0.002383699,HWJC
1,1,1168,2.227902372,0.965535192,1,0.593495935,0.350281355,78.69342604,81.0246876,10.77032961,4.21620093,4,22.7254225,20.4817377,-89.17970605,204.7,0.866468843,0.394909671,2.569857829,0.0016609,0.000492118,0.940171496,0.002798924,0.003921569,0.002256627,0.002200221,0.002153018,0.001584006,0.000938101,0.000255125,0.000655979,0.002645137,HWJC
1,1,530,1.560958563,0.925524296,1,0.697368421,0.564066549,42.9315517,41.10960958,8.485281374,3.470683884,3.16227766,17.00617053,16.25767343,11.64380947,108.662,0.905209223,0.214425234,1.219761668,0.001560938,0.000630527,0.072253838,0.00272203,0.003921569,0.002356321,0.002301437,0.002322184,0.002060746,0.001045752,0.000121195,0.000767684,0.002798924,HWJC
1,1,519,1.183684567,0.801601785,1,0.610588235,0.590277319,33.97479474,36.24913792,10,3.852441078,3.605551275,20.93378918,20.31211393,-27.64833746,105.114,0.903394256,0.181484055,1.13908501,0.001753172,0.000407535,0.039977492,0.002660515,0.003921569,0.002297267,0.002194769,0.002206844,0.000999616,0.000968858,0.000238099,0.00061433,0.002568243,HWJC
1,1,970,1.147114824,0.630583747,1,0.592185592,0.661262603,42.0514071,44.20407221,13.60147051,5.130837096,4.472135955,33.0991649,32.6369891,-45.38814585,135.77,0.91769158,0.254348343,2.221053519,0.001753172,0.000461361,0.160114355,0.002583622,0.003921569,0.002291427,0.002289746,0.002260669,0.001645521,0.001045752,0.000156424,0.000674926,0.002660515,HWJC
1,1,716,1.978396739,0.943178868,1,0.50997151,0.409574311,56.96700423,55.36244214,8.062257748,3.476168257,3.16227766,19.63562978,18.92930691,-80.76447445,148.216,0.781232951,0.277062683,1.577577904,0.001614764,0.00047674,0.418562005,0.003337178,0.003921569,0.002216501,0.002203321,0.00201461,0.001138024,0.000968858,0.00030168,0.000750748,0.002629758,HWJC
10,3,8286,8.231307724,0.96801274,1,0.117222647,0.055156635,403.3235186,347.0518693,20.02498439,4.994054385,4,142.7701886,101.1942932,56.35614805,1373.974,0.268542075,2.314586863,17.70629835,0.001768551,0.00035371,3.125277139,0.003798539,0.003921569,0.00215913,0.002136893,0.002153018,0.000953479,0.000276817,0.00024307,0.000624342,0.002475971,MHC
10,3,7664,8.003377333,0.992732966,1,0.154775128,0.120128679,391.5089784,328.8236609,19.23538406,6.149829792,5.385164807,63.9345214,47.11344576,66.52442184,895.384,0.467473848,1.574963588,16.18519104,0.001707036,0.000369089,0.0676484,0.003921569,0.003921569,0.002212028,0.002111846,0.002122261,0.001153403,0.000430604,0.000296248,0.000659499,0.002445213,MHC
10,3,11999,1.084625568,0.71678618,1,0.683470039,0.373274342,149.0631908,155.5409914,47.38143096,17.16245562,15,109.3958467,103.9407243,8.38986818,635.57,0.888419961,1.040184623,24.90070114,0.00189158,0.000184544,0.568647585,0.003383314,0.003921569,0.002097146,0.002075231,0.002076125,0.000630527,0.000415225,0.000243667,0.000346385,0.00224529,MHC
